date,timestamp,account,pnl
2026-06-05,13:34:28,CS4-VET3,158.90
2026-06-05,13:39:31,CS4-VET3,161.05
2026-06-05,13:44:33,CS4-VET3,162.31
2026-06-05,13:49:35,CS4-VET3,163.21
2026-06-05,13:54:38,CS4-VET3,163.92
2026-06-05,13:59:41,CS4-VET3,167.97
2026-06-05,14:04:43,CS4-VET3,169.86
2026-06-05,14:09:45,CS4-VET3,172.60
2026-06-05,14:14:47,CS4-VET3,175.72
2026-06-05,14:19:57,CS4-VET3,177.73
2026-06-05,14:24:59,CS4-VET3,180.23
2026-06-05,14:30:01,CS4-VET3,181.97
2026-06-05,14:35:03,CS4-VET3,185.10
2026-06-05,14:40:04,CS4-VET3,187.85
2026-06-05,14:45:08,CS4-VET3,189.51
2026-06-05,14:50:10,CS4-VET3,194.22
2026-06-05,14:55:21,CS4-VET3,197.48
2026-06-05,15:00:23,CS4-VET3,200.96
2026-06-05,15:05:26,CS4-VET3,203.67
2026-06-05,15:10:28,CS4-VET3,205.74
2026-06-05,15:15:30,CS4-VET3,209.23
2026-06-05,15:20:32,CS4-VET3,211.73
2026-06-05,15:25:37,CS4-VET3,213.74
2026-06-05,15:30:38,CS4-VET3,215.68
2026-06-05,15:35:46,CS4-VET3,217.43
2026-06-05,15:40:57,CS4-VET3,219.06
2026-06-05,15:45:59,CS4-VET3,219.56
2026-06-05,15:51:02,CS4-VET3,221.45
2026-06-05,15:56:04,CS4-VET3,223.70
2026-06-05,16:01:08,CS4-VET3,223.83
2026-06-05,16:06:09,CS4-VET3,223.83
2026-06-05,16:11:11,CS4-VET3,223.83
2026-06-05,16:16:12,CS4-VET3,223.83
2026-06-05,16:56:21,CS4-VET3,ERR
2026-06-05,17:01:23,CS4-VET3,ERR
2026-06-05,17:06:25,CS4-VET3,ERR
2026-06-05,17:11:26,CS4-VET3,ERR
2026-06-05,20:32:09,CS4-VET3,ERR
2026-06-05,08:55:16,CS4-VET3,0.00
2026-06-05,09:00:19,CS4-VET3,0.00
2026-06-05,09:05:21,CS4-VET3,0.00
2026-06-05,09:10:24,CS4-VET3,0.00
2026-06-05,09:15:25,CS4-VET3,0.00
2026-06-05,09:27:58,CS4-VET3,0.00
2026-06-08,07:32:07,VET4,0.00
2026-06-08,07:37:07,VET4,0.00
2026-06-08,07:38:45,CS4-VET3,0.00
2026-06-08,07:39:17,CS4-VET2,0.00
2026-06-08,07:40:58,CS4-VET3,0.00
2026-06-08,07:45:58,CS4-VET3,0.00
2026-06-08,07:50:58,CS4-VET3,0.00
2026-06-08,07:55:58,CS4-VET3,0.00
2026-06-08,08:00:58,CS4-VET3,0.00
2026-06-08,08:05:59,CS4-VET3,0.00
2026-06-08,08:10:59,CS4-VET3,0.00
2026-06-08,08:15:59,CS4-VET3,0.00
2026-06-08,08:43:08,CS4-VET3,0.00
2026-06-08,08:48:11,CS4-VET3,0.00
2026-06-08,08:53:13,CS4-VET3,0.00
2026-06-08,08:58:15,CS4-VET3,0.00
2026-06-08,09:03:18,CS4-VET3,0.00
2026-06-08,09:43:30,CS4-VET3,10.65
2026-06-08,09:48:31,CS4-VET3,12.03
2026-06-08,09:53:34,CS4-VET3,19.61
2026-06-08,09:58:36,CS4-VET3,23.33
2026-06-08,10:03:39,CS4-VET3,26.79
2026-06-08,10:08:41,CS4-VET3,24.67
2026-06-08,10:13:44,CS4-VET3,24.99
2026-06-08,10:18:46,CS4-VET3,24.89
2026-06-08,10:23:49,CS4-VET3,23.61
2026-06-08,10:28:52,CS4-VET3,24.47
2026-06-08,10:33:54,CS4-VET3,23.36
2026-06-08,10:38:57,CS4-VET3,25.44
2026-06-08,10:43:59,CS4-VET3,31.18
2026-06-08,10:49:02,CS4-VET3,35.23
2026-06-08,10:54:05,CS4-VET3,41.64
2026-06-08,10:59:08,CS4-VET3,48.27
2026-06-08,11:04:10,CS4-VET3,51.40
2026-06-08,11:09:13,CS4-VET3,57.89
2026-06-08,11:14:15,CS4-VET3,59.98
2026-06-08,11:19:18,CS4-VET3,64.70
2026-06-08,11:24:20,CS4-VET3,69.49
2026-06-08,11:29:22,CS4-VET3,70.91
2026-06-08,11:34:25,CS4-VET3,75.67
2026-06-08,11:39:28,CS4-VET3,78.91
2026-06-08,11:44:31,CS4-VET3,81.54
2026-06-08,11:49:33,CS4-VET3,82.53
2026-06-08,11:54:36,CS4-VET3,87.04
2026-06-08,11:59:39,CS4-VET3,90.79
2026-06-08,12:04:42,CS4-VET3,94.41
2026-06-08,12:09:44,CS4-VET3,98.79
2026-06-08,12:14:47,CS4-VET3,102.05
2026-06-08,12:19:49,CS4-VET3,104.72
2026-06-08,12:24:52,CS4-VET3,108.42
2026-06-08,12:29:54,CS4-VET3,112.78
2026-06-08,12:34:57,CS4-VET3,116.98
2026-06-08,12:40:00,CS4-VET3,120.17
2026-06-08,12:45:03,CS4-VET3,126.05
2026-06-08,12:50:06,CS4-VET3,129.66
2026-06-08,12:55:09,CS4-VET3,133.29
2026-06-08,13:00:12,CS4-VET3,136.04
2026-06-08,13:05:15,CS4-VET3,139.17
2026-06-08,13:10:18,CS4-VET3,142.65
2026-06-08,13:15:21,CS4-VET3,145.29
2026-06-08,13:20:23,CS4-VET3,150.19
2026-06-08,13:25:26,CS4-VET3,152.34
2026-06-08,13:30:27,CS4-VET3,156.60
2026-06-08,13:35:30,CS4-VET3,158.60
2026-06-08,13:40:33,CS4-VET3,161.23
2026-06-08,13:45:36,CS4-VET3,164.11
2026-06-08,13:50:38,CS4-VET3,167.34
2026-06-08,13:55:42,CS4-VET3,169.73
2026-06-08,14:00:45,CS4-VET3,172.10
2026-06-08,14:05:48,CS4-VET3,173.60
2026-06-08,14:10:51,CS4-VET3,175.47
2026-06-08,14:15:54,CS4-VET3,180.24
2026-06-08,14:20:58,CS4-VET3,183.48
2026-06-08,14:26:01,CS4-VET3,187.11
2026-06-08,14:31:04,CS4-VET3,190.66
2026-06-08,14:36:07,CS4-VET3,193.85
2026-06-08,14:41:10,CS4-VET3,195.47
2026-06-08,14:46:14,CS4-VET3,198.61
2026-06-08,14:51:16,CS4-VET3,202.97
2026-06-08,14:56:20,CS4-VET3,207.61
2026-06-08,15:01:24,CS4-VET3,209.92
2026-06-08,15:06:26,CS4-VET3,213.48
2026-06-08,15:11:30,CS4-VET3,215.48
2026-06-08,15:16:33,CS4-VET3,217.11
2026-06-08,15:21:35,CS4-VET3,218.22
2026-06-08,15:26:38,CS4-VET3,220.48
2026-06-08,15:31:41,CS4-VET3,224.11
2026-06-08,15:36:44,CS4-VET3,227.60
2026-06-08,15:41:47,CS4-VET3,229.60
2026-06-08,15:46:50,CS4-VET3,230.36
2026-06-08,15:51:53,CS4-VET3,231.88
2026-06-08,15:56:55,CS4-VET3,231.97
2026-06-08,16:01:58,CS4-VET3,231.74
2026-06-08,16:07:01,CS4-VET3,231.74
2026-06-08,07:38:35,CS4-VET3,0.00
2026-06-08,07:43:37,CS4-VET3,0.00
2026-06-08,07:48:40,CS4-VET3,0.00
2026-06-08,07:53:42,CS4-VET3,0.00
2026-06-08,07:58:45,CS4-VET3,0.00
2026-06-08,09:21:00,CS4-VET3,0.00
2026-06-08,09:26:02,CS4-VET3,0.00
2026-06-08,09:31:04,CS4-VET3,0.00
2026-06-08,09:36:06,CS4-VET3,0.51
2026-06-08,09:41:08,CS4-VET3,4.75
2026-06-08,09:46:11,CS4-VET3,8.17
2026-06-08,09:51:13,CS4-VET3,11.65
2026-06-08,09:56:16,CS4-VET3,18.42
2026-06-08,10:01:19,CS4-VET3,19.45
2026-06-08,10:06:21,CS4-VET3,22.27
2026-06-08,10:11:22,CS4-VET3,27.52
2026-06-08,10:16:25,CS4-VET3,30.41
2026-06-08,10:21:27,CS4-VET3,37.54
2026-06-08,10:26:30,CS4-VET3,45.17
2026-06-08,10:31:33,CS4-VET3,50.68
2026-06-08,10:36:36,CS4-VET3,55.17
2026-06-08,10:41:39,CS4-VET3,60.91
2026-06-08,10:46:41,CS4-VET3,68.18
2026-06-08,10:51:44,CS4-VET3,74.66
2026-06-08,10:56:45,CS4-VET3,78.26
2026-06-08,11:01:47,CS4-VET3,84.29
2026-06-08,11:06:50,CS4-VET3,89.41
2026-06-08,11:11:52,CS4-VET3,92.80
2026-06-08,11:16:55,CS4-VET3,94.18
2026-06-08,11:21:58,CS4-VET3,98.61
2026-06-08,11:27:00,CS4-VET3,99.98
2026-06-08,11:32:03,CS4-VET3,103.35
2026-06-08,11:37:05,CS4-VET3,105.38
2026-06-08,11:42:07,CS4-VET3,109.29
2026-06-08,11:47:10,CS4-VET3,110.62
2026-06-08,11:52:11,CS4-VET3,114.20
2026-06-08,11:57:14,CS4-VET3,120.37
2026-06-08,12:02:16,CS4-VET3,121.49
2026-06-08,12:16:46,CS4-VET3,122.26
2026-06-08,12:21:48,CS4-VET3,125.40
2026-06-08,12:26:51,CS4-VET3,129.09
2026-06-08,12:31:54,CS4-VET3,130.98
2026-06-08,12:36:56,CS4-VET3,132.97
2026-06-08,12:41:59,CS4-VET3,136.17
2026-06-08,12:47:01,CS4-VET3,139.09
2026-06-08,12:52:04,CS4-VET3,143.21
2026-06-08,12:57:07,CS4-VET3,145.22
2026-06-08,13:02:09,CS4-VET3,148.10
2026-06-08,13:07:12,CS4-VET3,150.70
2026-06-08,13:12:15,CS4-VET3,154.32
2026-06-08,13:17:18,CS4-VET3,156.15
2026-06-08,13:22:20,CS4-VET3,160.07
2026-06-08,13:27:23,CS4-VET3,164.71
2026-06-08,13:32:25,CS4-VET3,166.45
2026-06-08,13:37:28,CS4-VET3,169.46
2026-06-08,13:42:30,CS4-VET3,172.57
2026-06-08,13:47:32,CS4-VET3,175.71
2026-06-08,13:52:34,CS4-VET3,178.59
2026-06-08,13:57:38,CS4-VET3,180.72
2026-06-08,14:02:41,CS4-VET3,182.78
2026-06-08,14:07:42,CS4-VET3,185.24
2026-06-08,14:12:44,CS4-VET3,187.97
2026-06-08,14:17:47,CS4-VET3,189.14
2026-06-08,14:22:50,CS4-VET3,191.65
2026-06-08,14:27:53,CS4-VET3,193.93
2026-06-08,14:32:55,CS4-VET3,195.80
2026-06-08,14:37:58,CS4-VET3,196.54
2026-06-08,14:43:01,CS4-VET3,199.67
2026-06-08,14:48:03,CS4-VET3,202.38
2026-06-08,14:53:06,CS4-VET3,206.67
2026-06-08,14:58:08,CS4-VET3,209.68
2026-06-08,15:03:11,CS4-VET3,211.96
2026-06-08,15:08:14,CS4-VET3,214.31
2026-06-08,15:13:16,CS4-VET3,215.68
2026-06-08,15:18:19,CS4-VET3,217.60
2026-06-08,15:23:22,CS4-VET3,217.80
2026-06-08,15:28:25,CS4-VET3,218.93
2026-06-08,15:33:27,CS4-VET3,219.56
2026-06-08,15:38:30,CS4-VET3,220.98
2026-06-08,15:43:33,CS4-VET3,222.79
2026-06-08,15:48:35,CS4-VET3,223.56
2026-06-08,15:53:38,CS4-VET3,224.65
2026-06-08,15:58:40,CS4-VET3,224.56
2026-06-08,16:03:43,CS4-VET3,224.56
2026-06-08,16:08:45,CS4-VET3,224.56
2026-06-08,16:13:48,CS4-VET3,224.56
2026-06-08,07:30:46,CS4-VET3,0.00
2026-06-08,07:35:49,CS4-VET3,0.00
2026-06-08,07:40:51,CS4-VET3,0.00
2026-06-08,07:56:45,CS4-VET3,0.00
2026-06-08,08:01:47,CS4-VET3,0.00
2026-06-08,08:06:48,CS4-VET3,0.00
2026-06-08,08:11:51,CS4-VET3,0.00
2026-06-08,09:24:07,CS4-VET3,0.00
2026-06-08,09:29:09,CS4-VET3,0.00
2026-06-08,09:34:13,CS4-VET3,0.00
2026-06-08,09:39:15,CS4-VET3,1.91
2026-06-08,09:44:17,CS4-VET3,4.01
2026-06-08,09:49:20,CS4-VET3,8.65
