date,timestamp,account,pnl
2026-06-05,07:50:11,CS8-GAB4,0.00
2026-06-05,07:55:11,CS8-GAB4,0.00
2026-06-05,08:00:12,CS8-GAB4,0.00
2026-06-05,08:05:12,CS8-GAB4,0.00
2026-06-05,08:10:12,CS8-GAB4,0.00
2026-06-05,08:15:12,CS8-GAB4,0.00
2026-06-05,08:20:12,CS8-GAB4,0.00
2026-06-05,08:25:12,CS8-GAB4,0.00
2026-06-05,08:30:13,CS8-GAB4,0.00
2026-06-05,08:35:13,CS8-GAB4,0.00
2026-06-05,08:40:13,CS8-GAB4,0.00
2026-06-05,08:45:13,CS8-GAB4,0.00
2026-06-05,08:50:13,CS8-GAB4,0.00
2026-06-05,08:53:26,CS8-GAB4,0.00
2026-06-05,08:58:29,CS8-GAB4,0.00
2026-06-05,09:03:30,CS8-GAB4,0.00
2026-06-05,09:08:32,CS8-GAB4,0.00
2026-06-05,09:13:35,CS8-GAB4,0.00
2026-06-05,09:18:37,CS8-GAB4,0.00
2026-06-05,09:23:40,CS8-GAB4,0.00
2026-06-05,09:28:42,CS8-GAB4,0.00
2026-06-05,09:33:45,CS8-GAB4,0.00
2026-06-05,09:38:47,CS8-GAB4,3.02
2026-06-05,09:43:50,CS8-GAB4,7.01
2026-06-05,09:48:51,CS8-GAB4,9.90
2026-06-05,09:53:55,CS8-GAB4,14.54
2026-06-05,09:58:57,CS8-GAB4,15.86
2026-06-05,10:03:58,CS8-GAB4,15.98
2026-06-05,10:09:01,CS8-GAB4,ERR
2026-06-05,10:14:03,CS8-GAB4,13.67
2026-06-05,10:19:04,CS8-GAB4,18.47
2026-06-05,10:24:06,CS8-GAB4,18.83
2026-06-05,10:29:07,CS8-GAB4,18.83
2026-06-05,10:34:10,CS8-GAB4,19.36
2026-06-05,10:39:11,CS8-GAB4,21.84
2026-06-05,10:44:13,CS8-GAB4,25.23
2026-06-05,10:49:15,CS8-GAB4,27.82
2026-06-05,10:54:16,CS8-GAB4,32.98
2026-06-05,10:59:19,CS8-GAB4,38.05
2026-06-05,11:04:21,CS8-GAB4,40.30
2026-06-05,11:09:22,CS8-GAB4,45.37
2026-06-05,11:14:24,CS8-GAB4,48.16
2026-06-05,11:19:25,CS8-GAB4,51.74
2026-06-05,11:24:27,CS8-GAB4,54.48
2026-06-05,11:29:29,CS8-GAB4,56.35
2026-06-05,11:34:30,CS8-GAB4,60.18
2026-06-05,11:39:32,CS8-GAB4,62.34
2026-06-05,11:44:33,CS8-GAB4,66.21
2026-06-05,11:49:35,CS8-GAB4,66.11
2026-06-05,11:54:37,CS8-GAB4,67.22
2026-06-05,11:59:39,CS8-GAB4,70.60
2026-06-05,12:04:41,CS8-GAB4,72.48
2026-06-05,12:09:44,CS8-GAB4,75.73
2026-06-05,12:14:47,CS8-GAB4,76.39
2026-06-05,12:19:49,CS8-GAB4,79.04
2026-06-05,12:24:52,CS8-GAB4,79.91
2026-06-05,12:29:54,CS8-GAB4,ERR
2026-06-05,12:31:07,CS8-GAB4,ERR
2026-06-05,12:36:09,CS8-GAB4,84.04
2026-06-05,12:41:11,CS8-GAB4,87.22
2026-06-05,12:46:13,CS8-GAB4,93.19
2026-06-05,12:51:15,CS8-GAB4,94.42
2026-06-05,12:56:17,CS8-GAB4,98.12
2026-06-05,13:01:18,CS8-GAB4,101.16
2026-06-05,13:06:20,CS8-GAB4,105.45
2026-06-05,13:11:23,CS8-GAB4,109.87
2026-06-05,13:16:25,CS8-GAB4,112.88
2026-06-05,13:21:28,CS8-GAB4,115.47
2026-06-05,13:26:31,CS8-GAB4,119.61
2026-06-05,13:31:34,CS8-GAB4,124.89
2026-06-05,13:36:37,CS8-GAB4,130.07
2026-06-05,13:41:40,CS8-GAB4,133.51
2026-06-05,13:46:43,CS8-GAB4,136.53
2026-06-05,13:51:45,CS8-GAB4,139.16
2026-06-05,13:56:48,CS8-GAB4,141.29
2026-06-05,14:01:53,CS8-GAB4,143.66
2026-06-05,14:06:55,CS8-GAB4,147.13
2026-06-05,14:11:59,CS8-GAB4,149.90
2026-06-05,14:17:02,CS8-GAB4,154.38
2026-06-05,14:22:06,CS8-GAB4,157.70
2026-06-05,14:27:09,CS8-GAB4,160.42
2026-06-05,14:32:11,CS8-GAB4,164.42
2026-06-05,14:37:14,CS8-GAB4,166.40
2026-06-05,14:42:16,CS8-GAB4,168.20
2026-06-05,14:47:19,CS8-GAB4,170.98
2026-06-05,14:52:23,CS8-GAB4,173.85
2026-06-05,14:57:25,CS8-GAB4,176.96
2026-06-05,15:02:28,CS8-GAB4,179.58
2026-06-05,15:07:32,CS8-GAB4,180.85
2026-06-05,15:12:35,CS8-GAB4,182.34
2026-06-05,15:17:38,CS8-GAB4,185.20
2026-06-05,15:22:41,CS8-GAB4,187.38
2026-06-05,15:27:45,CS8-GAB4,189.75
2026-06-05,15:32:48,CS8-GAB4,191.06
2026-06-05,15:37:53,CS8-GAB4,194.44
2026-06-05,15:42:55,CS8-GAB4,196.81
2026-06-05,15:47:58,CS8-GAB4,199.38
2026-06-05,15:53:01,CS8-GAB4,200.86
